taxon_id,scientific_name,rank,source_material_status,wikipedia_status,available_article_urls,botanical_source_urls,record_path
244075,Syntrichia ruralis,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Syntrichia_ruralis,,taxa/244075.json
277115,Cascabela thevetia,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Cascabela_thevetia | https://pt.wikipedia.org/wiki/Thevetia_peruviana,,taxa/277115.json
323003,Minuartia recurva,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Minuartia_recurva | https://pt.wikipedia.org/wiki/Minuartia_recurva,,taxa/323003.json
328092,Solanum laciniatum,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Solanum_laciniatum,,taxa/328092.json
341115,Ornithogalum orthophyllum,species,text_needs_scope_review,articles_need_scope_review,https://pt.wikipedia.org/wiki/Leite-de-galinha,,taxa/341115.json
491002,Micromeria juliana,species,taxon_matched_text,article_title_matched,https://pt.wikipedia.org/wiki/Micromeria_juliana,,taxa/491002.json
710194,Sideritis arborescens,species,taxon_matched_text,article_title_matched,https://pt.wikipedia.org/wiki/Sideritis_arborescens,,taxa/710194.json
1268925,Limonium dodartii,species,taxon_matched_text,article_title_matched,https://pt.wikipedia.org/wiki/Limonium_dodartii,https://www.gbif.org/species/314868960,taxa/1268925.json
52599,Pontederia cordata,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Pontederia_cordata,,taxa/52599.json
59210,Bromus rubens,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Bromus_madritensis | https://pt.wikipedia.org/wiki/Bromus_madritensis | https://pt.wikipedia.org/wiki/Bromus_rubens,,taxa/59210.json
64694,Elaeagnus angustifolia,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Elaeagnus_angustifolia | https://pt.wikipedia.org/wiki/Elaeagnus_angustifolia,,taxa/64694.json
84954,Asplenium ruta-muraria,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Asplenium_ruta-muraria,,taxa/84954.json
122970,Helianthus tuberosus,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Jerusalem_artichoke | https://pt.wikipedia.org/wiki/Helianthus_tuberosus,,taxa/122970.json
327754,Oxalis triangularis,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Oxalis_triangularis,,taxa/327754.json
346424,Pandorea jasminoides,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Pandorea_jasminoides,,taxa/346424.json
410380,Rhododendron simsii,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Rhododendron_simsii,,taxa/410380.json
557604,Patellifolia procumbens,species,taxon_matched_text,article_title_matched,https://pt.wikipedia.org/wiki/Patellifolia_procumbens,,taxa/557604.json
972827,Dryopteris crispifolia,species,taxon_matched_text,article_title_matched,https://pt.wikipedia.org/wiki/Dryopteris_crispifolia,,taxa/972827.json
976071,Chaerophyllum azoricum,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Chaerophyllum_azoricum | https://pt.wikipedia.org/wiki/Chaerophyllum_azoricum,,taxa/976071.json
47560,Pinus canariensis,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Pinus_canariensis | https://pt.wikipedia.org/wiki/Pinheiro-das-can%C3%A1rias,,taxa/47560.json
54763,Acer platanoides,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Acer_platanoides | https://pt.wikipedia.org/wiki/Acer_platanoides,,taxa/54763.json
56011,Tamarix parviflora,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Tamarix_parviflora | https://pt.wikipedia.org/wiki/Tamarix_parviflora,,taxa/56011.json
57156,Avena sativa,species,text_needs_scope_review,articles_need_scope_review,https://en.wikipedia.org/wiki/Oat | https://pt.wikipedia.org/wiki/Aveia-comum,,taxa/57156.json
57638,Ononis pusilla,species,taxon_matched_text,article_title_matched,https://pt.wikipedia.org/wiki/Ononis_pusilla,,taxa/57638.json
64140,Ehrharta erecta,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Ehrharta_erecta,,taxa/64140.json
78537,Phalaris coerulescens,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Phalaris_coerulescens | https://pt.wikipedia.org/wiki/Phalaris_coerulescens,,taxa/78537.json
78625,Plecostachys serpyllifolia,species,taxon_matched_text,article_title_matched,https://pt.wikipedia.org/wiki/Plecostachys_serpyllifolia,,taxa/78625.json
120942,Malvaviscus arboreus,species,taxon_matched_text,article_title_matched,https://en.wikipedia.org/wiki/Malvaviscus_arboreus | https://pt.wikipedia.org/wiki/Malvaviscus_arboreus,,taxa/120942.json
