taxonId,name,rank,status,language,allRawSourceTokens,selectedRawSourceTokens,selectedCleanSourceTokens,evidencePacketTokens,hasSources,draftRequestTextTokens
525533,Rubus castellarnaui,species,taxon_matched_text,pt,1226,1226,244,412,True,1202
526642,Lycianthes lycioides,species,taxon_matched_text,es,1161,1161,421,593,True,1383
526976,Cordyline petiolaris,species,taxon_matched_text,en,567,567,216,346,True,1136
527541,Saurauia tristyla,species,taxonomy_only,,0,0,0,44,False,834
527602,Dasispermum suffruticosum,species,taxon_matched_text,es,966,966,552,710,True,1500
532641,Tillandsia incarnata,species,taxon_matched_text,en,445,445,27,113,True,903
533456,Euphorbia heptagona,species,taxon_matched_text,en,1757,1757,546,739,True,1529
533730,Bulbine abyssinica,species,taxon_matched_text,en,793,793,189,307,True,1097
534449,Cordyline congesta,species,taxon_matched_text,en,1193,1193,274,391,True,1181
538114,Imbribryum miniatum,species,taxonomy_only,,0,0,0,45,False,835
538847,Laelia undulata,species,taxon_matched_text,en,376,376,18,104,True,894
540318,Phyllanthus salviifolius,species,taxonomy_only,,0,0,0,49,False,839
541445,Diospyros whyteana,species,taxon_matched_text,en,1590,1590,438,577,True,1367
541558,Trifolium glanduliferum,species,taxon_matched_text,pt,677,677,275,420,True,1210
541861,Pleiospilos nelii,species,taxon_matched_text,en,1493,1493,373,491,True,1281
542501,Siphocampylus giganteus,species,taxonomy_only,,0,0,0,47,False,837
542827,Oreopanax nymphaeifolius,species,taxonomy_only,,0,0,0,51,False,841
543711,Orobanche austrohispanica,species,taxonomy_only,,0,0,0,49,False,839
543859,Bignonia callistegioides,species,taxon_matched_text,en,624,624,170,298,True,1088
543870,Gomphrena pulchella,species,taxon_matched_text,en,1957,1957,349,493,True,1283
543997,Persoonia stradbrokensis,species,taxon_matched_text,en,962,962,359,483,True,1273
544333,Closterium incurvum,species,taxonomy_only,,0,0,0,41,False,831
544373,Pandanus furcatus,species,taxon_matched_text,en,2502,2502,698,837,True,1627
544395,Cymbidium floribundum,species,taxon_matched_text,en,438,438,65,170,True,960
544968,Ruschia pulvinaris,species,taxon_matched_text,es,477,477,245,373,True,1163
545700,Convallaria pseudomajalis,species,taxonomy_only,,0,0,0,44,False,834
546910,Rhododendron caucasicum,species,taxon_matched_text,en,460,460,66,156,True,946
546999,Cosmarium laeve,species,taxonomy_only,,0,0,0,41,False,831
547408,Viburnum triphyllum,species,taxon_matched_text,en,1071,1071,375,527,True,1317
547458,Prunus jamasakura,species,taxon_matched_text,en,15983,4494,925,1127,True,1917
549667,Justicia floribunda,species,taxon_matched_text,en,793,793,158,264,True,1054
550255,Iochroma fuchsioides,species,taxon_matched_text,en,417,417,57,146,True,936
550603,Cautleya,genus,taxon_matched_text,en,3357,3103,1403,1618,True,2408
550664,Lomatia fraseri,species,taxon_matched_text,en,2196,2196,900,1066,True,1856
552001,Chiloschista parishii,species,taxonomy_only,,0,0,0,43,False,833
552062,Furcraea andina,species,taxon_matched_text,en,282,282,49,138,True,928
552880,Glandularia platensis,species,taxon_matched_text,es,461,461,272,398,True,1188
553184,Grevillea baueri,species,taxon_matched_text,en,2198,2198,645,803,True,1593
553486,Merwilla,genus,taxon_matched_text,en,1661,1108,338,487,True,1277
553513,Alcea rugosa,species,taxon_matched_text,en,525,525,81,164,True,954
554274,Lilium henryi,species,taxon_matched_text,en,1860,1080,368,502,True,1292
555268,Rumex arifolius,species,taxon_matched_text,en,914,914,182,309,True,1099
556187,Lilium brownii,species,taxon_matched_text,en,1522,928,150,253,True,1043
556628,Ilex latifolia,species,taxon_matched_text,en,1165,1165,327,433,True,1223
557051,Primula algida,species,taxon_matched_text,en,827,827,186,322,True,1112
557098,Neoorthocaulis,genus,taxon_matched_text,en,425,425,149,257,True,1047
557893,Passiflora alata × caerulea,hybrid,taxonomy_only,,0,0,0,50,False,840
558165,Gracilariopsis longissima,species,taxonomy_only,,0,0,0,45,False,835
558384,Nematanthus gregarius,species,taxon_matched_text,en,893,893,396,520,True,1310
558688,Euclea crispa,species,taxon_matched_text,en,2589,2589,1107,1306,True,2096
559363,Babiana angustifolia,species,taxon_matched_text,en,208,208,16,100,True,890
559866,Apatococcus,genus,taxonomy_only,,0,0,0,38,False,828
559934,Alstroemeria magnifica,species,taxon_matched_text,es,1774,1774,923,1076,True,1866
563468,Hibbertia empetrifolia,species,taxon_matched_text,en,1968,1968,625,768,True,1558
563537,Alstroemeria ligtu,species,taxon_matched_text,en,313,313,68,164,True,954
563627,Aloe affinis,species,taxon_matched_text,en,1407,506,119,221,True,1011
564959,Euthora cristata,species,taxonomy_only,,0,0,0,41,False,831
565639,Gagea lusitanica,species,taxonomy_only,,0,0,0,43,False,833
565769,Lilium pumilum,species,taxon_matched_text,en,1896,1095,216,339,True,1129
565771,Lilium regale,species,taxon_matched_text,en,2272,1588,467,608,True,1398
565965,Gladiolus carneus,species,taxon_matched_text,en,494,494,145,249,True,1039
567393,Carpobrotus deliciosus,species,taxon_matched_text,en,635,635,313,463,True,1253
567911,Gazania pectinata,species,taxon_matched_text,en,732,732,222,349,True,1139
567947,Gonialoe,genus,taxon_matched_text,en,1345,1345,270,395,True,1185
568622,Pelargonium myrrhifolium,species,taxonomy_only,,0,0,0,48,False,838
568634,Mesembryanthemum aitonis,species,taxonomy_only,,0,0,0,42,False,832
568962,Protea magnifica,species,taxon_matched_text,en,1725,1725,611,774,True,1564
569006,Watsonia pillansii,species,taxon_matched_text,en,460,460,43,129,True,919
569092,Passiflora amethystina × caerulea,hybrid,taxonomy_only,,0,0,0,50,False,840
569111,Saurauia napaulensis,species,taxon_matched_text,en,398,398,90,182,True,972
569319,Anisodontea scabrosa,species,taxonomy_only,,0,0,0,43,False,833
